請求ID,顧客タイプ,性別,単価,数量,合計金額,取引日付,支払方法,評価
750-67-8428,Member,Female,74.69,7,548.9715,1/5/2019,Ewallet,9.1
631-41-3108,Normal,Female,46.33,7,340.5255,3/3/2019,Credit card,7.4
123-19-1176,Member,Female,58.22,8,489.048,1/27/2019,Ewallet,8.4
373-73-7910,Member,Female,86.31,7,634.3785,2/8/2019,Ewallet,5.3
355-53-5943,Member,Female,68.84,6,433.692,2/25/2019,Ewallet,5.8
665-32-9167,Member,Female,36.26,2,76.146,1/10/2019,Credit card,7.2
365-64-0515,Member,Female,46.95,5,246.4875,2/12/2019,Ewallet,7.1
252-56-2699,Member,Female,43.19,10,453.495,2/7/2019,Ewallet,8.2
829-34-3910,Member,Female,71.38,10,749.49,3/29/2019,Cash,5.7
656-95-9349,Member,Female,68.93,7,506.6355,3/11/2019,Credit card,4.6
765-26-6951,Member,Female,72.61,6,457.443,1/1/2019,Credit card,6.9
329-62-1586,Member,Female,54.67,3,172.2105,1/21/2019,Credit card,8.6
636-48-8204,Member,Female,34.56,5,181.44,2/17/2019,Ewallet,9.9
549-59-1358,Member,Female,88.63,3,279.1845,3/2/2019,Ewallet,6
227-03-5010,Member,Female,52.59,8,441.756,3/22/2019,Credit card,8.5
189-17-4241,Member,Female,87.67,2,184.107,3/10/2019,Credit card,7.7
848-62-7243,Member,Female,24.89,9,235.2105,3/15/2019,Cash,7.4
595-11-5460,Member,Female,96.58,2,202.818,3/15/2019,Credit card,5.1
129-29-8530,Member,Female,62.62,5,328.755,3/10/2019,Ewallet,7
272-65-1806,Member,Female,60.88,9,575.316,1/15/2019,Ewallet,4.7
162-48-8011,Member,Female,44.59,5,234.0975,2/10/2019,Cash,8.5
106-35-6779,Member,Female,44.34,2,93.114,3/27/2019,Cash,5.8
635-40-6220,Member,Female,89.6,8,752.64,2/7/2019,Ewallet,6.6
817-48-8732,Member,Female,72.35,10,759.675,1/20/2019,Cash,5.4
199-75-8169,Member,Female,15.81,10,166.005,3/6/2019,Credit card,8.6
