ユーザーID,商品ID,購入日時
1,43,2024-01-11
1,36,2024-01-16
1,81,2024-01-23
1,80,2024-01-24
1,107,2024-02-01
1,111,2024-02-04
1,13,2024-02-26
1,14,2024-03-02
1,130,2024-03-10
1,59,2024-03-17
1,103,2024-03-20
1,56,2024-03-21
1,105,2024-03-28
1,73,2024-03-31
1,73,2024-04-12
1,22,2024-04-19
1,88,2024-04-19
1,34,2024-04-22
1,10,2024-04-28
1,119,2024-05-04
1,40,2024-05-12
1,145,2024-05-30
1,7,2024-06-06
1,104,2024-06-06
1,51,2024-06-09
1,144,2024-06-23
1,43,2024-07-07
1,76,2024-07-24
1,116,2024-07-24
1,103,2024-07-27
1,119,2024-07-30
1,76,2024-08-04
1,133,2024-08-12
1,140,2024-08-16
1,27,2024-08-22
1,109,2024-08-28
1,53,2024-09-14
1,127,2024-09-19
1,17,2024-10-01
1,141,2024-10-09
1,81,2024-10-11
1,86,2024-10-15
