ユーザーID,商品ID,購入日時
11,3,2024-01-04
11,111,2024-01-13
11,74,2024-01-17
11,154,2024-01-30
11,93,2024-03-18
11,47,2024-04-03
11,106,2024-04-03
11,67,2024-04-04
11,120,2024-04-27
11,43,2024-04-28
11,70,2024-05-02
11,145,2024-05-04
11,116,2024-05-06
11,38,2024-05-22
11,53,2024-05-28
11,72,2024-06-16
11,120,2024-07-03
11,2,2024-07-06
11,107,2024-07-12
11,1,2024-07-17
11,139,2024-07-22
11,9,2024-07-28
11,89,2024-08-01
11,21,2024-08-11
11,58,2024-08-20
11,46,2024-08-24
11,28,2024-08-28
11,138,2024-09-02
11,130,2024-09-08
11,61,2024-09-23
11,67,2024-09-23
11,12,2024-09-25
11,40,2024-10-03
11,31,2024-10-23
