ユーザーID,商品ID,購入日時
13,153,2024-01-10
13,87,2024-01-12
13,109,2024-01-16
13,41,2024-01-16
13,118,2024-01-28
13,70,2024-02-06
13,132,2024-02-14
13,137,2024-02-19
13,2,2024-03-15
13,149,2024-03-23
13,146,2024-03-24
13,108,2024-03-28
13,138,2024-04-04
13,36,2024-04-05
13,28,2024-04-20
13,127,2024-04-22
13,114,2024-04-25
13,117,2024-04-27
13,15,2024-05-01
13,74,2024-05-03
13,44,2024-05-07
13,152,2024-05-08
13,2,2024-05-17
13,3,2024-05-18
13,77,2024-05-30
13,24,2024-06-14
13,132,2024-07-01
13,72,2024-07-04
13,145,2024-07-12
13,45,2024-07-17
13,117,2024-07-30
13,94,2024-08-08
13,97,2024-08-08
13,23,2024-08-08
13,91,2024-08-14
13,39,2024-08-15
13,4,2024-09-07
13,95,2024-09-17
13,86,2024-09-26
13,150,2024-09-28
13,133,2024-10-03
13,140,2024-10-11
13,24,2024-10-18
13,94,2024-10-23
