ユーザーID,商品ID,購入日時
17,61,2024-01-26
17,76,2024-01-31
17,50,2024-02-04
17,104,2024-02-05
17,132,2024-02-15
17,96,2024-02-26
17,26,2024-02-28
17,116,2024-04-01
17,61,2024-04-10
17,151,2024-04-11
17,39,2024-04-14
17,146,2024-04-22
17,81,2024-04-26
17,61,2024-06-16
17,122,2024-06-24
17,85,2024-07-20
17,81,2024-08-02
17,132,2024-08-07
17,91,2024-08-16
17,85,2024-08-21
17,56,2024-08-26
17,141,2024-09-03
17,12,2024-09-20
17,155,2024-09-22
17,118,2024-09-25
17,74,2024-09-29
17,50,2024-10-10
17,70,2024-10-15
17,140,2024-10-17
