ユーザーID,商品ID,購入日時
22,113,2024-01-25
22,25,2024-01-29
22,41,2024-02-03
22,141,2024-02-07
22,60,2024-02-08
22,59,2024-02-10
22,21,2024-03-08
22,64,2024-03-10
22,82,2024-03-10
22,96,2024-03-16
22,25,2024-03-22
22,96,2024-03-25
22,61,2024-04-02
22,138,2024-04-02
22,60,2024-04-18
22,104,2024-04-18
22,84,2024-05-11
22,28,2024-05-18
22,127,2024-05-25
22,151,2024-05-27
22,40,2024-06-01
22,60,2024-06-07
22,33,2024-06-11
22,128,2024-06-16
22,89,2024-06-26
22,112,2024-06-27
22,72,2024-07-06
22,116,2024-07-07
22,77,2024-07-10
22,90,2024-07-26
22,84,2024-08-04
22,2,2024-08-15
22,50,2024-08-19
22,55,2024-09-01
22,24,2024-09-08
22,152,2024-09-11
22,76,2024-09-18
22,64,2024-09-25
22,31,2024-09-29
22,10,2024-10-07
22,40,2024-10-25
