ユーザーID,商品ID,購入日時
3,64,2024-01-04
3,126,2024-01-11
3,64,2024-01-19
3,50,2024-02-02
3,108,2024-02-04
3,39,2024-02-06
3,112,2024-02-27
3,114,2024-03-10
3,127,2024-03-14
3,51,2024-03-18
3,110,2024-03-23
3,53,2024-03-31
3,107,2024-04-01
3,26,2024-04-02
3,72,2024-04-17
3,101,2024-04-18
3,17,2024-04-27
3,138,2024-05-10
3,77,2024-05-19
3,130,2024-05-23
3,20,2024-05-28
3,95,2024-05-30
3,117,2024-06-01
3,29,2024-06-04
3,49,2024-06-06
3,108,2024-06-10
3,6,2024-06-11
3,102,2024-06-27
3,85,2024-06-27
3,137,2024-06-29
3,40,2024-07-01
3,51,2024-07-03
3,116,2024-07-08
3,101,2024-07-29
3,20,2024-08-12
3,10,2024-08-16
3,19,2024-08-22
3,2,2024-08-24
3,91,2024-08-24
3,28,2024-09-13
3,126,2024-09-19
3,97,2024-09-30
3,71,2024-10-03
3,45,2024-10-08
3,126,2024-10-11
3,81,2024-10-11
3,154,2024-10-22
3,48,2024-10-22
