ユーザーID,商品ID,購入日時
38,154,2024-01-05
38,86,2024-01-26
38,11,2024-01-31
38,124,2024-02-01
38,90,2024-02-06
38,134,2024-02-20
38,25,2024-03-27
38,144,2024-03-30
38,96,2024-03-30
38,155,2024-04-03
38,6,2024-04-05
38,131,2024-04-08
38,37,2024-04-19
38,86,2024-04-25
38,78,2024-04-29
38,53,2024-05-06
38,8,2024-05-09
38,148,2024-05-26
38,91,2024-06-04
38,113,2024-06-10
38,68,2024-06-12
38,129,2024-06-14
38,154,2024-06-20
38,11,2024-06-23
38,152,2024-07-13
38,86,2024-07-15
38,123,2024-07-18
38,45,2024-07-24
38,147,2024-08-01
38,79,2024-08-08
38,61,2024-08-09
38,32,2024-08-10
38,70,2024-08-18
38,128,2024-08-18
38,146,2024-09-06
38,31,2024-09-08
38,93,2024-09-10
38,73,2024-09-11
38,133,2024-10-05
38,132,2024-10-15
38,74,2024-10-27
