ユーザーID,商品ID,購入日時
42,40,2024-01-22
42,123,2024-02-26
42,27,2024-02-27
42,55,2024-03-06
42,6,2024-03-12
42,69,2024-03-22
42,29,2024-03-24
42,135,2024-03-31
42,15,2024-04-24
42,84,2024-04-24
42,117,2024-05-02
42,113,2024-05-04
42,71,2024-05-11
42,55,2024-05-23
42,6,2024-06-17
42,61,2024-06-17
42,42,2024-07-05
42,129,2024-07-20
42,133,2024-07-26
42,22,2024-07-30
42,51,2024-08-30
42,80,2024-09-06
42,31,2024-09-08
42,93,2024-09-24
42,75,2024-09-28
42,141,2024-09-30
42,151,2024-10-10
