ユーザーID,商品ID,購入日時
44,46,2024-01-06
44,89,2024-01-18
44,121,2024-01-25
44,145,2024-01-27
44,100,2024-02-03
44,139,2024-02-05
44,47,2024-02-12
44,133,2024-02-21
44,140,2024-03-02
44,34,2024-03-07
44,116,2024-03-12
44,107,2024-03-14
44,61,2024-03-21
44,19,2024-03-25
44,81,2024-03-31
44,149,2024-04-05
44,111,2024-04-07
44,43,2024-04-10
44,68,2024-04-27
44,117,2024-05-02
44,81,2024-05-15
44,128,2024-05-20
44,150,2024-05-23
44,110,2024-05-28
44,139,2024-06-07
44,65,2024-06-21
44,26,2024-07-02
44,129,2024-07-03
44,143,2024-07-14
44,95,2024-07-16
44,69,2024-07-17
44,124,2024-07-19
44,33,2024-07-26
44,153,2024-08-05
44,4,2024-08-11
44,91,2024-08-15
44,97,2024-08-16
44,110,2024-08-20
44,131,2024-08-22
44,93,2024-08-28
44,73,2024-09-03
44,136,2024-09-30
44,61,2024-10-14
44,5,2024-10-14
44,152,2024-10-21
