ユーザーID,商品ID,購入日時
47,39,2024-01-14
47,139,2024-01-26
47,83,2024-02-09
47,135,2024-02-15
47,69,2024-02-21
47,70,2024-03-27
47,29,2024-03-31
47,142,2024-04-03
47,141,2024-04-03
47,92,2024-04-04
47,40,2024-04-08
47,91,2024-04-09
47,56,2024-04-10
47,89,2024-04-18
47,110,2024-04-20
47,34,2024-04-30
47,51,2024-05-07
47,15,2024-05-11
47,152,2024-05-12
47,84,2024-05-21
47,73,2024-05-27
47,88,2024-05-28
47,13,2024-06-07
47,51,2024-06-10
47,110,2024-06-12
47,22,2024-06-16
47,58,2024-06-25
47,97,2024-06-27
47,27,2024-07-12
47,140,2024-07-17
47,123,2024-07-17
47,48,2024-07-21
47,15,2024-07-22
47,30,2024-07-25
47,56,2024-08-07
47,100,2024-08-18
47,8,2024-08-18
47,141,2024-08-24
47,103,2024-08-31
47,19,2024-09-15
47,50,2024-09-26
47,79,2024-09-28
47,149,2024-10-21
47,118,2024-10-22
47,145,2024-10-23
