ユーザーID,商品ID,購入日時
55,99,2024-01-02
55,122,2024-01-04
55,90,2024-01-07
55,19,2024-01-28
55,120,2024-02-04
55,34,2024-02-05
55,125,2024-02-09
55,143,2024-02-21
55,48,2024-02-29
55,156,2024-02-29
55,105,2024-03-13
55,90,2024-03-17
55,90,2024-04-19
55,7,2024-04-23
55,94,2024-04-25
55,125,2024-04-25
55,109,2024-04-30
55,57,2024-05-05
55,15,2024-05-14
55,43,2024-05-19
55,11,2024-05-20
55,151,2024-05-25
55,64,2024-05-28
55,80,2024-06-18
55,15,2024-06-20
55,155,2024-07-12
55,140,2024-07-23
55,103,2024-07-25
55,39,2024-08-04
55,112,2024-08-26
55,118,2024-09-16
55,86,2024-09-18
55,12,2024-09-19
55,149,2024-09-25
55,138,2024-09-27
55,77,2024-10-05
55,30,2024-10-08
