ユーザーID,商品ID,購入日時
6,92,2024-01-02
6,155,2024-01-05
6,139,2024-01-11
6,114,2024-01-12
6,46,2024-01-24
6,84,2024-02-02
6,147,2024-02-07
6,16,2024-02-09
6,137,2024-02-10
6,49,2024-02-23
6,12,2024-03-01
6,11,2024-03-02
6,5,2024-03-16
6,42,2024-04-03
6,13,2024-04-12
6,48,2024-04-17
6,147,2024-04-20
6,141,2024-04-20
6,2,2024-04-29
6,101,2024-05-02
6,54,2024-05-24
6,125,2024-06-09
6,155,2024-06-11
6,22,2024-06-12
6,25,2024-06-14
6,12,2024-06-15
6,7,2024-06-17
6,26,2024-06-18
6,139,2024-06-18
6,99,2024-06-19
6,82,2024-06-21
6,151,2024-06-28
6,136,2024-06-29
6,82,2024-06-30
6,2,2024-06-30
6,89,2024-06-30
6,116,2024-06-30
6,77,2024-07-04
6,140,2024-07-05
6,53,2024-07-14
6,151,2024-07-18
6,122,2024-07-21
6,59,2024-07-21
6,64,2024-08-08
6,136,2024-08-30
6,23,2024-09-12
6,114,2024-09-15
6,50,2024-09-21
6,151,2024-10-05
6,31,2024-10-08
