ユーザーID,商品ID,購入日時
62,8,2024-01-13
62,87,2024-01-31
62,150,2024-02-03
62,26,2024-02-11
62,45,2024-02-14
62,104,2024-02-16
62,129,2024-03-01
62,132,2024-03-03
62,123,2024-03-05
62,3,2024-03-07
62,11,2024-03-30
62,115,2024-04-08
62,135,2024-04-20
62,96,2024-04-21
62,140,2024-04-23
62,137,2024-04-24
62,128,2024-04-25
62,6,2024-05-11
62,93,2024-05-12
62,22,2024-05-18
62,49,2024-05-19
62,88,2024-05-21
62,104,2024-06-09
62,95,2024-06-20
62,71,2024-06-21
62,19,2024-07-15
62,128,2024-07-16
62,146,2024-07-25
62,72,2024-07-26
62,48,2024-07-31
62,16,2024-08-15
62,135,2024-08-21
62,154,2024-08-25
62,132,2024-08-25
62,40,2024-08-31
62,5,2024-09-09
62,123,2024-10-21
62,70,2024-10-26
