ユーザーID,商品ID,購入日時
67,142,2024-01-04
67,134,2024-01-08
67,23,2024-01-19
67,117,2024-01-23
67,37,2024-01-26
67,117,2024-01-29
67,68,2024-01-29
67,35,2024-02-02
67,143,2024-02-10
67,13,2024-02-10
67,137,2024-02-11
67,104,2024-02-20
67,10,2024-02-29
67,87,2024-03-13
67,85,2024-04-08
67,52,2024-04-13
67,101,2024-04-26
67,114,2024-05-10
67,108,2024-05-14
67,26,2024-05-22
67,135,2024-05-24
67,53,2024-05-24
67,31,2024-05-25
67,130,2024-05-27
67,44,2024-05-29
67,113,2024-06-03
67,21,2024-06-10
67,84,2024-07-04
67,99,2024-07-06
67,108,2024-07-20
67,153,2024-07-22
67,97,2024-07-24
67,35,2024-08-14
67,104,2024-09-06
67,30,2024-09-13
67,48,2024-09-28
67,149,2024-10-01
67,66,2024-10-07
67,70,2024-10-07
