ユーザーID,商品ID,購入日時
69,77,2024-01-05
69,74,2024-01-06
69,33,2024-01-17
69,35,2024-01-21
69,72,2024-01-26
69,1,2024-01-27
69,10,2024-02-05
69,127,2024-02-07
69,77,2024-02-10
69,56,2024-02-13
69,142,2024-02-20
69,31,2024-02-26
69,32,2024-03-05
69,28,2024-03-06
69,26,2024-03-10
69,96,2024-03-14
69,61,2024-03-20
69,21,2024-03-28
69,66,2024-03-30
69,115,2024-04-04
69,19,2024-04-05
69,75,2024-04-10
69,37,2024-04-14
69,68,2024-04-26
69,41,2024-04-30
69,87,2024-05-04
69,59,2024-05-21
69,11,2024-05-24
69,143,2024-06-03
69,142,2024-06-05
69,72,2024-06-22
69,133,2024-07-12
69,3,2024-07-25
69,92,2024-07-26
69,114,2024-08-02
69,58,2024-08-09
69,102,2024-08-09
69,35,2024-08-16
69,153,2024-09-06
69,46,2024-09-07
69,20,2024-09-11
69,35,2024-09-20
69,144,2024-10-06
69,70,2024-10-16
69,123,2024-10-19
