ユーザーID,商品ID,購入日時
70,64,2024-01-04
70,68,2024-01-13
70,39,2024-01-14
70,60,2024-01-19
70,41,2024-01-27
70,101,2024-02-01
70,7,2024-02-12
70,39,2024-02-13
70,31,2024-02-20
70,146,2024-03-14
70,132,2024-03-17
70,114,2024-03-27
70,50,2024-03-28
70,65,2024-03-31
70,114,2024-04-08
70,148,2024-04-19
70,134,2024-04-24
70,47,2024-05-16
70,120,2024-06-03
70,40,2024-06-28
70,148,2024-06-30
70,47,2024-07-25
70,133,2024-07-29
70,147,2024-08-01
70,156,2024-08-03
70,1,2024-08-03
70,112,2024-08-26
70,16,2024-08-26
70,118,2024-08-27
70,129,2024-08-30
70,39,2024-09-02
70,137,2024-09-05
70,154,2024-09-13
70,46,2024-09-16
70,113,2024-09-18
70,103,2024-09-25
70,96,2024-09-25
70,46,2024-09-26
70,109,2024-09-29
70,78,2024-10-08
70,154,2024-10-19
70,11,2024-10-19
70,154,2024-10-21
70,123,2024-10-26
70,106,2024-10-27
70,138,2024-10-27
