ユーザーID,商品ID,購入日時
72,127,2024-01-04
72,75,2024-01-16
72,7,2024-01-18
72,98,2024-01-18
72,105,2024-01-21
72,130,2024-01-22
72,7,2024-02-02
72,153,2024-02-19
72,152,2024-02-20
72,77,2024-02-23
72,107,2024-02-26
72,30,2024-03-18
72,153,2024-04-07
72,88,2024-04-09
72,52,2024-04-10
72,119,2024-04-21
72,40,2024-05-01
72,32,2024-05-05
72,83,2024-05-15
72,123,2024-05-24
72,33,2024-05-25
72,61,2024-05-25
72,90,2024-05-26
72,113,2024-06-17
72,30,2024-06-25
72,24,2024-07-06
72,27,2024-07-09
72,125,2024-07-10
72,133,2024-07-11
72,106,2024-07-12
72,62,2024-07-25
72,56,2024-08-05
72,99,2024-08-13
72,113,2024-08-26
72,99,2024-10-23
72,119,2024-10-26
72,154,2024-10-27
