ユーザーID,商品ID,購入日時
73,85,2024-01-11
73,21,2024-01-24
73,93,2024-01-27
73,106,2024-01-30
73,98,2024-01-30
73,4,2024-02-05
73,121,2024-02-07
73,108,2024-02-21
73,55,2024-03-03
73,27,2024-03-03
73,32,2024-03-25
73,128,2024-03-27
73,101,2024-04-12
73,85,2024-04-13
73,85,2024-04-24
73,77,2024-05-20
73,88,2024-05-25
73,13,2024-05-31
73,156,2024-06-09
73,141,2024-06-16
73,8,2024-07-03
73,101,2024-07-04
73,76,2024-07-16
73,67,2024-07-16
73,145,2024-07-19
73,124,2024-07-26
73,5,2024-07-31
73,139,2024-08-04
73,6,2024-08-07
73,55,2024-08-07
73,32,2024-08-08
73,14,2024-08-10
73,48,2024-09-02
73,150,2024-09-08
73,9,2024-09-12
73,61,2024-09-17
73,92,2024-09-22
73,58,2024-09-27
73,94,2024-10-04
73,53,2024-10-05
73,135,2024-10-05
73,106,2024-10-08
