ユーザーID,商品ID,購入日時
74,120,2024-01-06
74,145,2024-01-16
74,46,2024-01-23
74,106,2024-02-01
74,127,2024-02-11
74,60,2024-02-14
74,125,2024-02-27
74,70,2024-02-29
74,88,2024-03-02
74,137,2024-03-05
74,81,2024-03-15
74,142,2024-03-16
74,149,2024-03-23
74,49,2024-04-01
74,25,2024-04-03
74,59,2024-04-05
74,96,2024-04-13
74,51,2024-04-21
74,8,2024-04-22
74,34,2024-04-27
74,125,2024-04-30
74,153,2024-05-19
74,36,2024-05-22
74,30,2024-06-02
74,17,2024-06-07
74,113,2024-06-11
74,137,2024-06-23
74,146,2024-07-04
74,108,2024-07-05
74,43,2024-07-09
74,152,2024-07-11
74,35,2024-07-26
74,79,2024-07-31
74,88,2024-08-03
74,124,2024-08-06
74,116,2024-08-07
74,123,2024-08-14
74,103,2024-08-17
74,75,2024-08-21
74,19,2024-08-22
74,110,2024-08-23
74,114,2024-09-08
74,32,2024-09-08
74,50,2024-09-15
74,150,2024-10-16
74,38,2024-10-26
74,50,2024-10-26
