ユーザーID,商品ID,購入日時
76,117,2024-01-02
76,85,2024-01-05
76,74,2024-01-06
76,58,2024-01-12
76,92,2024-01-18
76,77,2024-01-24
76,3,2024-02-04
76,148,2024-02-06
76,56,2024-02-12
76,78,2024-02-28
76,139,2024-03-08
76,124,2024-03-16
76,101,2024-03-18
76,22,2024-03-18
76,21,2024-03-23
76,151,2024-03-25
76,38,2024-03-26
76,57,2024-04-01
76,115,2024-04-06
76,95,2024-04-14
76,20,2024-04-21
76,95,2024-04-23
76,155,2024-04-23
76,32,2024-04-27
76,2,2024-05-04
76,91,2024-05-11
76,45,2024-05-26
76,52,2024-06-02
76,59,2024-06-02
76,37,2024-06-04
76,63,2024-06-22
76,80,2024-07-01
76,71,2024-07-03
76,62,2024-07-14
76,101,2024-07-21
76,3,2024-07-27
76,2,2024-07-31
76,129,2024-08-08
76,58,2024-08-11
76,100,2024-08-22
76,49,2024-08-31
76,65,2024-09-02
76,123,2024-09-10
76,112,2024-09-20
76,95,2024-10-02
76,24,2024-10-08
76,4,2024-10-16
76,94,2024-10-26
