ユーザーID,商品ID,購入日時
77,42,2024-01-19
77,90,2024-01-20
77,102,2024-02-07
77,3,2024-03-01
77,113,2024-03-09
77,20,2024-03-18
77,15,2024-03-18
77,109,2024-04-06
77,31,2024-04-15
77,57,2024-04-17
77,76,2024-04-28
77,93,2024-05-01
77,23,2024-05-28
77,29,2024-06-10
77,138,2024-06-13
77,10,2024-06-23
77,91,2024-06-28
77,40,2024-06-29
77,60,2024-07-04
77,46,2024-07-06
77,50,2024-07-28
77,40,2024-08-18
77,17,2024-08-24
77,108,2024-08-31
77,32,2024-09-03
77,150,2024-09-22
77,15,2024-10-10
