ユーザーID,商品ID,購入日時
81,93,2024-01-02
81,106,2024-01-05
81,109,2024-01-10
81,109,2024-01-24
81,24,2024-01-30
81,122,2024-01-30
81,6,2024-02-01
81,63,2024-02-09
81,104,2024-02-09
81,68,2024-02-14
81,66,2024-02-16
81,114,2024-02-16
81,134,2024-02-24
81,122,2024-02-26
81,23,2024-03-18
81,46,2024-03-19
81,155,2024-04-09
81,37,2024-05-17
81,144,2024-06-17
81,132,2024-06-22
81,148,2024-06-28
81,13,2024-07-13
81,150,2024-07-17
81,141,2024-08-06
81,141,2024-08-09
81,113,2024-08-22
81,118,2024-08-28
81,10,2024-08-28
81,109,2024-08-31
81,74,2024-09-13
81,131,2024-09-14
81,77,2024-09-15
81,91,2024-09-22
81,18,2024-10-04
