ユーザーID,商品ID,購入日時
83,108,2024-01-12
83,70,2024-01-16
83,19,2024-01-25
83,55,2024-02-02
83,64,2024-02-13
83,51,2024-02-18
83,118,2024-02-24
83,60,2024-02-26
83,151,2024-02-28
83,96,2024-03-11
83,1,2024-03-12
83,84,2024-03-25
83,5,2024-04-09
83,4,2024-04-14
83,85,2024-04-25
83,155,2024-04-25
83,120,2024-04-28
83,92,2024-05-06
83,5,2024-05-11
83,125,2024-05-11
83,126,2024-05-12
83,15,2024-05-12
83,52,2024-05-14
83,106,2024-05-14
83,144,2024-05-17
83,58,2024-05-24
83,4,2024-06-09
83,84,2024-06-12
83,3,2024-06-21
83,59,2024-06-30
83,18,2024-07-06
83,47,2024-07-15
83,26,2024-07-15
83,92,2024-08-15
83,72,2024-08-18
83,15,2024-09-19
83,105,2024-09-21
83,51,2024-10-05
83,3,2024-10-12
83,88,2024-10-17
83,24,2024-10-24
83,5,2024-10-26
