ユーザーID,商品ID,購入日時
85,11,2024-01-07
85,128,2024-01-11
85,43,2024-02-05
85,128,2024-02-05
85,89,2024-02-06
85,44,2024-02-20
85,151,2024-02-29
85,99,2024-03-03
85,88,2024-03-11
85,44,2024-03-18
85,17,2024-03-29
85,124,2024-04-06
85,135,2024-04-09
85,149,2024-04-25
85,4,2024-05-02
85,18,2024-05-07
85,138,2024-05-09
85,6,2024-05-11
85,48,2024-05-12
85,90,2024-05-22
85,99,2024-05-25
85,110,2024-06-01
85,13,2024-06-11
85,23,2024-06-12
85,3,2024-06-20
85,113,2024-06-24
85,6,2024-06-26
85,155,2024-07-01
85,69,2024-07-05
85,11,2024-07-22
85,70,2024-07-27
85,4,2024-08-29
85,139,2024-09-02
85,97,2024-09-05
85,36,2024-09-25
85,147,2024-10-06
85,144,2024-10-10
85,154,2024-10-12
