ユーザーID,商品ID,購入日時
87,89,2024-01-11
87,105,2024-01-29
87,137,2024-02-06
87,12,2024-02-16
87,89,2024-02-17
87,120,2024-02-19
87,143,2024-02-20
87,56,2024-02-21
87,154,2024-02-22
87,50,2024-03-06
87,130,2024-03-31
87,125,2024-04-07
87,60,2024-04-09
87,74,2024-04-26
87,52,2024-04-29
87,126,2024-05-02
87,47,2024-05-06
87,77,2024-05-21
87,129,2024-06-03
87,74,2024-06-04
87,19,2024-06-04
87,140,2024-06-15
87,75,2024-06-18
87,93,2024-06-19
87,22,2024-06-28
87,42,2024-06-30
87,140,2024-07-01
87,110,2024-07-04
87,125,2024-07-05
87,141,2024-07-06
87,45,2024-07-20
87,55,2024-07-24
87,26,2024-07-26
87,18,2024-07-27
87,154,2024-08-15
87,75,2024-08-17
87,58,2024-08-25
87,32,2024-09-10
87,55,2024-09-13
87,8,2024-09-19
87,86,2024-09-27
87,54,2024-10-06
87,153,2024-10-08
87,97,2024-10-09
87,17,2024-10-15
87,126,2024-10-27
