ユーザーID,商品ID,購入日時
91,143,2024-02-13
91,12,2024-03-12
91,29,2024-04-30
91,125,2024-05-09
91,88,2024-05-11
91,42,2024-05-14
91,49,2024-05-31
91,58,2024-06-02
91,131,2024-06-06
91,31,2024-06-10
91,4,2024-06-12
91,110,2024-06-25
91,149,2024-07-14
91,15,2024-07-15
91,4,2024-07-22
91,10,2024-07-28
91,41,2024-08-14
91,77,2024-08-17
91,148,2024-08-29
91,151,2024-08-31
91,31,2024-09-01
91,64,2024-09-06
91,80,2024-09-14
91,78,2024-09-15
91,21,2024-09-19
91,126,2024-09-24
91,16,2024-09-27
91,21,2024-10-22
91,7,2024-10-26
