ユーザーID,商品ID,購入日時
96,54,2024-01-11
96,143,2024-01-29
96,28,2024-02-16
96,20,2024-02-19
96,152,2024-02-27
96,12,2024-03-02
96,34,2024-03-14
96,153,2024-03-25
96,54,2024-03-26
96,140,2024-03-28
96,22,2024-04-01
96,21,2024-04-04
96,50,2024-04-08
96,95,2024-04-15
96,128,2024-05-08
96,24,2024-05-28
96,8,2024-05-28
96,33,2024-06-05
96,79,2024-06-07
96,74,2024-06-07
96,127,2024-06-08
96,63,2024-06-11
96,62,2024-06-15
96,2,2024-07-02
96,90,2024-07-02
96,64,2024-07-03
96,71,2024-07-08
96,55,2024-07-09
96,53,2024-07-21
96,79,2024-07-22
96,55,2024-07-30
96,125,2024-08-01
96,150,2024-08-05
96,42,2024-08-29
96,25,2024-09-06
96,89,2024-09-08
96,103,2024-09-11
96,89,2024-09-18
96,122,2024-09-24
96,120,2024-10-02
96,25,2024-10-09
