ユーザーID,商品ID,購入日時
66,89,2024-01-10
66,34,2024-02-05
66,13,2024-03-03
66,27,2024-03-17
66,48,2024-03-21
66,16,2024-03-26
66,30,2024-04-06
66,78,2024-04-21
66,75,2024-05-04
66,99,2024-05-07
66,144,2024-05-25
66,141,2024-05-28
66,99,2024-06-10
66,102,2024-06-17
66,64,2024-06-27
66,55,2024-06-27
66,54,2024-06-30
66,15,2024-07-06
66,110,2024-07-17
66,4,2024-07-19
66,8,2024-07-22
66,71,2024-08-24
66,45,2024-09-07
66,56,2024-09-12
66,104,2024-09-14
66,8,2024-09-22
66,124,2024-09-24
