商品ID,商品名,カテゴリ,価格
1,Python入門,プログラミング,4428
2,Javaマスター,プログラミング,6215
3,C++徹底攻略,プログラミング,5278
4,Go言語実践,プログラミング,5134
5,Rustプログラミング,プログラミング,3532
6,Swift基礎,プログラミング,8797
7,Ruby基礎,プログラミング,3050
8,Perl活用,プログラミング,2294
9,C#実践,プログラミング,3466
10,Kotlin開発,プログラミング,2529
11,プログラム設計,プログラミング,9670
12,アルゴリズムとデータ構造,プログラミング,6706
13,システム開発,プログラミング,6783
14,ソフトウェアテスト,プログラミング,8361
15,オブジェクト指向プログラミング,プログラミング,1659
16,デザインパターン,プログラミング,2807
17,関数型プログラミング,プログラミング,4357
18,アセンブリ言語入門,プログラミング,4766
19,Webスクレイピング,プログラミング,9528
20,自動化スクリプト,プログラミング,8086
21,ゲームプログラミング,プログラミング,6299
22,競技プログラミング,プログラミング,6054
23,AIプログラミング,プログラミング,1272
24,低レイヤープログラミング,プログラミング,6626
25,プログラミング入門,プログラミング,3789
26,エラー処理,プログラミング,5652
27,コード最適化,プログラミング,4377
28,モダンJavaScript,プログラミング,2057
29,TypeScript入門,プログラミング,8956
30,プログラムデバッグ,プログラミング,2785
31,テスト駆動開発,プログラミング,6496
32,フレームワーク活用,プログラミング,6629
33,プログラミング言語の歴史,プログラミング,3050
34,データ分析基礎,データサイエンス,1687
35,統計学入門,データサイエンス,9076
36,機械学習モデル構築,データサイエンス,2945
37,Pythonでデータ処理,データサイエンス,1961
38,SQLデータ分析,データサイエンス,8981
39,データ可視化,データサイエンス,4407
40,ビッグデータ解析,データサイエンス,4332
41,データクレンジング,データサイエンス,1623
42,R言語活用,データサイエンス,1084
43,データエンジニアリング,データサイエンス,6884
44,統計モデリング,データサイエンス,7068
45,時系列分析,データサイエンス,6266
46,データマイニング,データサイエンス,3487
47,Pythonデータ分析,データサイエンス,6335
48,データアナリスト入門,データサイエンス,5052
49,回帰分析,データサイエンス,2778
50,教師なし学習,データサイエンス,9712
51,ディープラーニング基礎,データサイエンス,4283
52,AIデータ分析,データサイエンス,2472
53,データサイエンスとビジネス,データサイエンス,2230
54,データパイプライン構築,データサイエンス,3866
55,クラスタリング技術,データサイエンス,9625
56,異常検知,データサイエンス,5838
57,データウェアハウス入門,データサイエンス,6289
58,データドリブン戦略,データサイエンス,2238
59,データスクリーニング,データサイエンス,4999
60,統計的仮説検定,データサイエンス,6799
61,データ統計入門,データサイエンス,4992
62,深層学習入門,AI,9251
63,強化学習実践,AI,6670
64,AIモデル最適化,AI,2332
65,自然言語処理,AI,5317
66,画像認識技術,AI,9450
67,音声認識AI,AI,4332
68,GAN活用,AI,2242
69,Transformer入門,AI,6454
70,自動運転AI,AI,6179
71,AI倫理,AI,1815
72,AIの未来,AI,8314
73,AIプログラム基礎,AI,6968
74,AIとビジネス,AI,5696
75,AIチャットボット開発,AI,4310
76,AIアプリ開発,AI,2327
77,AIとデータサイエンス,AI,7533
78,ディープラーニング入門,AI,9659
79,AIで株価予測,AI,6443
80,AIによる画像分類,AI,6030
81,AI技術の実践,AI,2594
82,AWS入門,クラウドコンピューティング,1629
83,Azure実践,クラウドコンピューティング,1494
84,GCP活用,クラウドコンピューティング,6704
85,クラウドアーキテクチャ,クラウドコンピューティング,6573
86,サーバーレス開発,クラウドコンピューティング,6955
87,Kubernetes基礎,クラウドコンピューティング,3212
88,Docker活用,クラウドコンピューティング,9343
89,クラウドセキュリティ,クラウドコンピューティング,7000
90,分散コンピューティング,クラウドコンピューティング,8765
91,ハイブリッドクラウド戦略,クラウドコンピューティング,7709
92,クラウド運用,クラウドコンピューティング,4657
93,マイクロサービス,クラウドコンピューティング,7056
94,DevOpsとCI/CD,クラウドコンピューティング,6520
95,クラウドデータストレージ,クラウドコンピューティング,1087
96,クラウドネイティブアプリ,クラウドコンピューティング,4594
97,クラウドコスト最適化,クラウドコンピューティング,3792
98,ネットワークセキュリティ,サイバーセキュリティ,7448
99,情報セキュリティ管理,サイバーセキュリティ,4801
100,暗号技術,サイバーセキュリティ,2669
101,ペネトレーションテスト,サイバーセキュリティ,8986
102,脆弱性診断,サイバーセキュリティ,5332
103,マルウェア解析,サイバーセキュリティ,8926
104,エシカルハッキング,サイバーセキュリティ,3884
105,セキュアコーディング,サイバーセキュリティ,8402
106,ゼロトラストセキュリティ,サイバーセキュリティ,5235
107,SOCとSIEM,サイバーセキュリティ,4239
108,セキュリティオペレーション,サイバーセキュリティ,9867
109,ブロックチェーン基礎,ブロックチェーン,1877
110,Ethereum開発,ブロックチェーン,4020
111,スマートコントラクト,ブロックチェーン,6459
112,NFTとメタバース,ブロックチェーン,6849
113,暗号通貨技術,ブロックチェーン,1558
114,分散型アプリ開発,ブロックチェーン,2613
115,DeFiと金融革命,ブロックチェーン,2682
116,ハッシュアルゴリズム,ブロックチェーン,6815
117,SQL入門,データベース,1365
118,NoSQL活用,データベース,5140
119,データベース設計,データベース,1121
120,分散データベース,データベース,6721
121,データモデリング,データベース,3098
122,トランザクション管理,データベース,9093
123,データベースパフォーマンス最適化,データベース,3074
124,HTML/CSS基礎,Web開発,9619
125,JavaScriptフレームワーク,Web開発,1983
126,React入門,Web開発,3869
127,Vue.js開発,Web開発,4730
128,フロントエンド最適化,Web開発,2484
129,WebAPI設計,Web開発,5919
130,バックエンド開発,Web開発,6061
131,フルスタック開発,Web開発,7372
132,Next.js活用,Web開発,7781
133,GraphQL入門,Web開発,2677
134,Android開発,モバイルアプリ,8149
135,iOSアプリ開発,モバイルアプリ,2964
136,React Native入門,モバイルアプリ,3799
137,Flutter実践,モバイルアプリ,4489
138,SwiftUI開発,モバイルアプリ,8337
139,Unityゲーム開発,ゲーム開発,2182
140,Unreal Engine活用,ゲーム開発,4381
141,ゲームデザイン理論,ゲーム開発,7001
142,3Dモデリング技術,ゲーム開発,8189
143,物理エンジン実装,ゲーム開発,3280
144,ゲームAI開発,ゲーム開発,9245
145,IoT基礎,IoT,4686
146,スマートデバイス開発,IoT,9228
147,エッジコンピューティング,IoT,2672
148,組み込みシステム,IoT,3969
149,センサーデータ処理,IoT,4018
150,IoTセキュリティ,IoT,1699
151,ロボット制御,ロボティクス,7207
152,ROSプログラミング,ロボティクス,7235
153,自律移動ロボット,ロボティクス,8015
154,ロボットアーム制御,ロボティクス,4587
155,ヒューマノイド開発,ロボティクス,1947
156,ロボティクスAI,ロボティクス,3953
