ユーザーID,商品ID,購入日時
1,7,2024-01-06
1,95,2024-01-13
1,123,2024-01-17
1,131,2024-01-25
1,130,2024-02-12
1,79,2024-03-15
1,115,2024-04-08
1,3,2024-04-16
1,14,2024-05-04
1,24,2024-05-05
1,142,2024-05-08
1,125,2024-05-29
1,17,2024-05-30
1,115,2024-06-13
1,87,2024-06-20
1,132,2024-06-20
1,142,2024-06-23
1,147,2024-06-27
1,41,2024-07-03
1,50,2024-07-09
1,79,2024-07-11
1,147,2024-07-12
1,152,2024-07-13
1,83,2024-07-17
1,77,2024-08-03
1,132,2024-08-11
1,17,2024-08-30
1,5,2024-09-03
1,31,2024-09-30
1,30,2024-10-08
1,100,2024-10-20
1,133,2024-10-21
