ユーザーID,商品ID,購入日時
10,90,2024-01-13
10,13,2024-01-14
10,140,2024-01-16
10,96,2024-01-18
10,126,2024-01-24
10,80,2024-02-04
10,51,2024-02-12
10,122,2024-02-19
10,3,2024-02-29
10,45,2024-03-09
10,87,2024-03-18
10,103,2024-05-05
10,63,2024-05-15
10,126,2024-05-25
10,76,2024-05-25
10,131,2024-05-26
10,52,2024-06-05
10,23,2024-06-16
10,115,2024-06-23
10,116,2024-06-26
10,10,2024-07-08
10,8,2024-07-11
10,98,2024-08-09
10,37,2024-10-03
10,77,2024-10-05
10,2,2024-10-12
10,51,2024-10-23
