ユーザーID,商品ID,購入日時
11,107,2024-01-02
11,44,2024-01-04
11,129,2024-01-10
11,27,2024-01-11
11,76,2024-01-17
11,131,2024-01-18
11,69,2024-01-26
11,155,2024-01-31
11,60,2024-02-03
11,56,2024-02-26
11,138,2024-03-08
11,147,2024-03-16
11,98,2024-03-27
11,62,2024-04-22
11,72,2024-04-24
11,29,2024-05-14
11,84,2024-06-14
11,57,2024-06-22
11,49,2024-07-17
11,83,2024-08-13
11,33,2024-08-27
11,112,2024-09-17
11,114,2024-09-19
11,116,2024-09-26
11,20,2024-09-27
11,108,2024-10-01
11,152,2024-10-07
11,103,2024-10-08
