ユーザーID,商品ID,購入日時
13,68,2024-01-09
13,140,2024-01-27
13,37,2024-02-09
13,47,2024-02-20
13,65,2024-04-15
13,72,2024-04-21
13,151,2024-04-29
13,61,2024-05-05
13,59,2024-05-05
13,141,2024-05-12
13,21,2024-06-07
13,28,2024-06-07
13,54,2024-06-11
13,26,2024-06-12
13,10,2024-06-15
13,47,2024-06-16
13,155,2024-07-19
13,102,2024-08-08
13,74,2024-08-11
13,87,2024-08-13
13,143,2024-08-16
13,56,2024-08-29
13,97,2024-08-29
13,120,2024-09-10
13,26,2024-09-28
13,146,2024-10-02
13,92,2024-10-27
13,138,2024-10-27
