ユーザーID,商品ID,購入日時
14,4,2024-01-06
14,65,2024-01-07
14,8,2024-01-10
14,146,2024-01-13
14,112,2024-01-17
14,42,2024-02-24
14,150,2024-03-04
14,28,2024-03-11
14,41,2024-03-15
14,118,2024-03-22
14,104,2024-04-03
14,38,2024-04-05
14,62,2024-04-11
14,60,2024-04-21
14,21,2024-05-02
14,122,2024-05-26
14,137,2024-07-22
14,150,2024-08-07
14,71,2024-08-20
14,82,2024-08-24
14,28,2024-08-29
14,139,2024-08-30
14,83,2024-08-31
14,68,2024-09-04
14,47,2024-09-30
14,38,2024-10-25
14,153,2024-10-26
