ユーザーID,商品ID,購入日時
17,75,2024-01-27
17,114,2024-02-03
17,57,2024-02-16
17,15,2024-03-07
17,54,2024-03-07
17,98,2024-03-11
17,26,2024-03-23
17,56,2024-03-23
17,21,2024-03-30
17,126,2024-04-03
17,77,2024-04-25
17,11,2024-04-27
17,96,2024-04-27
17,44,2024-05-08
17,110,2024-05-18
17,81,2024-05-21
17,123,2024-05-21
17,113,2024-05-24
17,86,2024-05-30
17,151,2024-06-14
17,51,2024-06-18
17,88,2024-06-28
17,141,2024-07-04
17,39,2024-07-09
17,89,2024-07-13
17,119,2024-07-23
17,155,2024-08-01
17,106,2024-08-14
17,18,2024-08-24
17,64,2024-09-06
17,56,2024-09-08
17,79,2024-09-23
17,102,2024-09-24
17,4,2024-09-30
17,74,2024-10-02
17,151,2024-10-02
17,105,2024-10-04
17,85,2024-10-11
17,139,2024-10-25
17,85,2024-10-27
