ユーザーID,商品ID,購入日時
2,15,2024-01-05
2,69,2024-01-09
2,58,2024-01-10
2,49,2024-01-15
2,107,2024-01-16
2,16,2024-01-20
2,16,2024-01-29
2,59,2024-02-13
2,55,2024-02-24
2,151,2024-03-01
2,42,2024-03-04
2,101,2024-03-07
2,148,2024-03-18
2,96,2024-03-19
2,17,2024-04-01
2,151,2024-04-03
2,142,2024-04-07
2,128,2024-04-08
2,117,2024-04-09
2,101,2024-04-14
2,78,2024-04-25
2,115,2024-05-01
2,21,2024-05-05
2,110,2024-05-06
2,42,2024-05-15
2,99,2024-06-01
2,105,2024-06-27
2,48,2024-07-01
2,116,2024-07-03
2,141,2024-07-12
2,126,2024-07-24
2,58,2024-08-05
2,15,2024-08-09
2,137,2024-08-11
2,72,2024-08-16
2,90,2024-08-18
2,87,2024-08-26
2,82,2024-09-14
2,137,2024-09-15
2,46,2024-09-16
2,84,2024-09-23
2,85,2024-09-25
2,125,2024-10-02
2,24,2024-10-02
2,99,2024-10-17
2,111,2024-10-26
