ユーザーID,商品ID,購入日時
22,50,2024-01-02
22,82,2024-01-05
22,141,2024-01-08
22,51,2024-01-08
22,129,2024-01-11
22,124,2024-01-14
22,130,2024-01-18
22,75,2024-01-19
22,36,2024-01-24
22,18,2024-02-03
22,128,2024-03-03
22,68,2024-03-11
22,54,2024-03-12
22,132,2024-03-14
22,91,2024-03-18
22,24,2024-04-05
22,146,2024-04-11
22,151,2024-04-16
22,14,2024-04-20
22,141,2024-04-22
22,35,2024-05-08
22,69,2024-06-12
22,100,2024-06-16
22,46,2024-06-21
22,48,2024-06-22
22,29,2024-06-22
22,96,2024-06-30
22,148,2024-08-01
22,142,2024-08-13
22,148,2024-08-14
22,61,2024-08-24
22,46,2024-08-24
22,105,2024-08-24
22,66,2024-08-26
22,154,2024-09-07
22,52,2024-09-09
22,138,2024-09-15
22,37,2024-09-25
22,29,2024-10-17
22,4,2024-10-18
