ユーザーID,商品ID,購入日時
25,30,2024-01-03
25,45,2024-01-23
25,96,2024-01-30
25,75,2024-02-10
25,92,2024-02-20
25,3,2024-02-24
25,51,2024-03-06
25,5,2024-03-10
25,22,2024-03-10
25,137,2024-03-13
25,92,2024-03-21
25,58,2024-03-21
25,15,2024-03-23
25,93,2024-03-31
25,81,2024-04-11
25,85,2024-04-16
25,148,2024-04-29
25,106,2024-04-30
25,30,2024-05-04
25,51,2024-05-30
25,101,2024-06-07
25,94,2024-06-12
25,116,2024-06-27
25,42,2024-07-01
25,121,2024-08-08
25,5,2024-08-13
25,36,2024-08-13
25,52,2024-08-17
25,125,2024-08-20
25,151,2024-09-03
25,156,2024-09-07
25,156,2024-10-04
25,64,2024-10-07
25,33,2024-10-08
25,117,2024-10-20
25,85,2024-10-22
