ユーザーID,商品ID,購入日時
28,115,2024-01-03
28,38,2024-01-24
28,3,2024-02-05
28,114,2024-02-09
28,91,2024-02-21
28,86,2024-03-01
28,61,2024-03-03
28,121,2024-03-05
28,113,2024-03-08
28,48,2024-03-17
28,148,2024-04-03
28,77,2024-04-04
28,31,2024-04-22
28,15,2024-05-18
28,114,2024-05-25
28,43,2024-05-27
28,100,2024-06-01
28,151,2024-06-13
28,62,2024-06-14
28,36,2024-07-01
28,134,2024-07-03
28,132,2024-07-10
28,121,2024-07-14
28,101,2024-07-25
28,102,2024-07-26
28,2,2024-08-03
28,20,2024-08-08
28,77,2024-08-12
28,35,2024-10-05
28,47,2024-10-11
28,32,2024-10-15
28,61,2024-10-19
