ユーザーID,商品ID,購入日時
29,73,2024-01-13
29,79,2024-01-16
29,110,2024-01-23
29,106,2024-02-01
29,94,2024-02-04
29,10,2024-02-08
29,59,2024-02-17
29,139,2024-02-19
29,8,2024-03-04
29,154,2024-03-08
29,77,2024-03-26
29,145,2024-04-01
29,42,2024-04-04
29,29,2024-04-07
29,87,2024-04-17
29,131,2024-04-18
29,46,2024-04-19
29,13,2024-05-05
29,155,2024-05-14
29,8,2024-05-22
29,150,2024-05-23
29,1,2024-05-31
29,104,2024-06-18
29,40,2024-07-24
29,88,2024-07-25
29,131,2024-07-25
29,130,2024-07-28
29,12,2024-08-15
29,137,2024-08-16
29,148,2024-08-26
29,5,2024-09-05
29,134,2024-09-13
29,124,2024-09-13
29,115,2024-09-22
29,152,2024-09-24
29,21,2024-09-29
29,13,2024-10-08
29,116,2024-10-17
