ユーザーID,商品ID,購入日時
3,42,2024-01-02
3,93,2024-01-06
3,111,2024-01-12
3,15,2024-01-13
3,36,2024-01-14
3,153,2024-01-17
3,55,2024-01-17
3,114,2024-01-20
3,123,2024-01-23
3,113,2024-01-28
3,32,2024-02-06
3,72,2024-02-07
3,97,2024-02-22
3,68,2024-02-26
3,145,2024-03-03
3,149,2024-03-12
3,59,2024-04-02
3,107,2024-04-04
3,88,2024-04-05
3,25,2024-04-16
3,32,2024-04-21
3,121,2024-04-25
3,61,2024-04-30
3,47,2024-05-14
3,153,2024-05-16
3,45,2024-05-23
3,138,2024-05-28
3,70,2024-05-28
3,143,2024-05-29
3,63,2024-06-04
3,116,2024-06-06
3,31,2024-06-08
3,123,2024-06-11
3,106,2024-06-25
3,17,2024-07-05
3,32,2024-07-27
3,106,2024-08-08
3,88,2024-08-08
3,121,2024-08-20
3,147,2024-09-08
3,153,2024-10-23
3,136,2024-10-26
