ユーザーID,商品ID,購入日時
30,78,2024-01-04
30,75,2024-01-18
30,73,2024-01-26
30,28,2024-02-05
30,73,2024-02-07
30,4,2024-03-02
30,128,2024-03-20
30,97,2024-03-24
30,153,2024-03-29
30,125,2024-04-10
30,31,2024-04-21
30,80,2024-05-08
30,121,2024-05-09
30,102,2024-05-14
30,89,2024-05-18
30,135,2024-05-27
30,78,2024-06-02
30,98,2024-06-03
30,149,2024-06-05
30,57,2024-06-09
30,36,2024-06-19
30,75,2024-07-01
30,33,2024-07-12
30,125,2024-07-23
30,106,2024-07-24
30,106,2024-07-27
30,91,2024-08-01
30,126,2024-08-17
30,85,2024-08-31
30,13,2024-09-08
30,142,2024-10-07
30,81,2024-10-08
30,53,2024-10-18
