ユーザーID,商品ID,購入日時
31,122,2024-01-05
31,132,2024-01-07
31,138,2024-01-10
31,30,2024-01-15
31,139,2024-01-23
31,37,2024-02-22
31,37,2024-02-22
31,150,2024-03-08
31,76,2024-03-15
31,110,2024-03-23
31,31,2024-04-08
31,140,2024-04-11
31,37,2024-04-28
31,57,2024-05-08
31,56,2024-05-15
31,95,2024-05-25
31,7,2024-06-03
31,146,2024-06-19
31,13,2024-07-02
31,144,2024-08-23
31,151,2024-08-30
31,124,2024-09-09
31,67,2024-09-10
31,51,2024-09-13
31,108,2024-09-13
31,142,2024-09-16
31,7,2024-10-06
31,43,2024-10-24
31,78,2024-10-24
