ユーザーID,商品ID,購入日時
33,80,2024-01-03
33,57,2024-01-11
33,21,2024-01-25
33,87,2024-01-30
33,107,2024-01-31
33,1,2024-02-04
33,103,2024-02-08
33,100,2024-02-20
33,53,2024-03-01
33,34,2024-03-05
33,69,2024-03-07
33,134,2024-03-16
33,96,2024-03-21
33,135,2024-03-23
33,48,2024-03-27
33,144,2024-04-17
33,92,2024-05-08
33,116,2024-05-14
33,66,2024-05-20
33,72,2024-05-25
33,135,2024-05-26
33,136,2024-05-31
33,25,2024-06-05
33,108,2024-06-20
33,71,2024-07-06
33,117,2024-07-08
33,44,2024-07-13
33,114,2024-07-22
33,152,2024-07-27
33,119,2024-08-09
33,88,2024-08-24
33,117,2024-08-26
33,105,2024-08-26
33,6,2024-08-27
33,124,2024-08-28
33,134,2024-08-30
33,113,2024-09-05
33,77,2024-09-10
33,111,2024-10-06
33,138,2024-10-13
33,63,2024-10-14
33,154,2024-10-19
