ユーザーID,商品ID,購入日時
34,111,2024-01-06
34,4,2024-01-06
34,3,2024-01-08
34,89,2024-01-10
34,93,2024-01-18
34,72,2024-01-23
34,9,2024-01-29
34,25,2024-02-24
34,141,2024-02-24
34,15,2024-03-06
34,68,2024-03-06
34,78,2024-03-06
34,117,2024-03-16
34,132,2024-03-23
34,66,2024-03-27
34,9,2024-04-08
34,8,2024-04-13
34,93,2024-04-16
34,10,2024-04-26
34,87,2024-04-27
34,105,2024-04-29
34,42,2024-05-03
34,63,2024-05-05
34,66,2024-05-30
34,137,2024-06-05
34,65,2024-06-11
34,70,2024-06-16
34,20,2024-06-21
34,62,2024-07-09
34,147,2024-07-30
34,72,2024-08-05
34,2,2024-08-19
34,44,2024-08-21
34,59,2024-09-14
34,2,2024-09-22
34,80,2024-09-24
34,143,2024-09-27
34,28,2024-10-06
34,156,2024-10-07
34,74,2024-10-12
34,12,2024-10-13
34,86,2024-10-15
34,48,2024-10-16
