ユーザーID,商品ID,購入日時
35,45,2024-01-07
35,103,2024-01-11
35,107,2024-01-19
35,9,2024-01-25
35,66,2024-02-01
35,82,2024-02-09
35,125,2024-02-10
35,21,2024-02-11
35,1,2024-02-14
35,5,2024-02-23
35,75,2024-02-26
35,59,2024-03-04
35,71,2024-03-08
35,134,2024-03-12
35,37,2024-03-18
35,15,2024-04-03
35,56,2024-04-14
35,101,2024-04-19
35,41,2024-04-22
35,117,2024-04-27
35,53,2024-04-29
35,107,2024-05-01
35,48,2024-05-19
35,44,2024-05-26
35,128,2024-06-20
35,72,2024-06-24
35,87,2024-07-10
35,113,2024-07-19
35,20,2024-07-25
35,103,2024-08-03
35,68,2024-08-19
35,27,2024-08-27
35,74,2024-09-04
35,108,2024-09-12
35,150,2024-09-23
35,102,2024-10-15
