ユーザーID,商品ID,購入日時
36,51,2024-01-06
36,88,2024-01-08
36,112,2024-01-22
36,39,2024-01-26
36,74,2024-01-27
36,15,2024-02-03
36,19,2024-02-04
36,100,2024-02-14
36,61,2024-02-14
36,30,2024-03-01
36,31,2024-03-01
36,53,2024-03-02
36,63,2024-03-05
36,150,2024-03-13
36,41,2024-03-19
36,20,2024-04-01
36,78,2024-04-02
36,6,2024-04-12
36,54,2024-04-21
36,94,2024-04-27
36,72,2024-05-13
36,22,2024-05-13
36,37,2024-05-24
36,14,2024-05-28
36,7,2024-06-04
36,143,2024-06-11
36,75,2024-06-16
36,60,2024-06-23
36,55,2024-06-28
36,155,2024-07-09
36,140,2024-07-22
36,56,2024-08-05
36,44,2024-08-07
36,126,2024-08-26
36,128,2024-09-03
36,107,2024-09-07
36,119,2024-09-08
36,62,2024-09-09
36,146,2024-09-20
36,25,2024-09-27
36,32,2024-09-29
36,122,2024-10-01
36,48,2024-10-03
36,118,2024-10-11
36,89,2024-10-17
36,57,2024-10-20
36,95,2024-10-27
