ユーザーID,商品ID,購入日時
39,49,2024-01-14
39,100,2024-01-25
39,33,2024-02-17
39,11,2024-02-23
39,79,2024-03-19
39,46,2024-04-01
39,116,2024-04-03
39,51,2024-04-20
39,127,2024-04-21
39,143,2024-05-01
39,36,2024-05-14
39,23,2024-05-29
39,105,2024-06-20
39,138,2024-06-23
39,127,2024-06-28
39,119,2024-06-30
39,27,2024-07-29
39,141,2024-08-11
39,110,2024-08-14
39,89,2024-08-22
39,7,2024-09-05
39,137,2024-09-09
39,95,2024-09-19
39,75,2024-09-28
39,142,2024-09-29
39,156,2024-10-08
39,111,2024-10-16
