ユーザーID,商品ID,購入日時
42,131,2024-01-10
42,149,2024-01-31
42,134,2024-02-01
42,29,2024-02-21
42,140,2024-02-26
42,89,2024-03-05
42,101,2024-03-06
42,146,2024-03-06
42,42,2024-03-13
42,130,2024-03-14
42,78,2024-03-19
42,147,2024-03-22
42,58,2024-04-04
42,32,2024-04-05
42,112,2024-04-13
42,67,2024-04-25
42,106,2024-05-09
42,144,2024-05-23
42,12,2024-05-26
42,109,2024-06-01
42,129,2024-06-05
42,32,2024-06-08
42,102,2024-06-10
42,152,2024-06-13
42,60,2024-06-22
42,18,2024-06-27
42,121,2024-06-28
42,37,2024-07-02
42,26,2024-07-18
42,125,2024-07-26
42,12,2024-08-06
42,99,2024-08-06
42,79,2024-08-26
42,52,2024-09-06
42,99,2024-09-08
42,139,2024-09-10
42,74,2024-09-13
42,80,2024-09-14
42,55,2024-09-21
42,118,2024-09-23
42,80,2024-09-24
42,24,2024-10-01
42,103,2024-10-02
42,21,2024-10-04
42,145,2024-10-12
42,64,2024-10-14
42,25,2024-10-26
