ユーザーID,商品ID,購入日時
43,23,2024-01-07
43,135,2024-01-08
43,131,2024-01-13
43,36,2024-01-18
43,67,2024-01-22
43,81,2024-02-03
43,97,2024-02-03
43,114,2024-02-24
43,76,2024-02-28
43,47,2024-03-04
43,111,2024-03-05
43,116,2024-03-08
43,9,2024-03-19
43,66,2024-03-21
43,72,2024-03-21
43,17,2024-04-04
43,19,2024-05-01
43,120,2024-05-05
43,138,2024-05-06
43,8,2024-05-11
43,59,2024-05-12
43,51,2024-05-16
43,75,2024-05-27
43,22,2024-06-08
43,117,2024-07-02
43,46,2024-08-04
43,107,2024-08-28
43,60,2024-09-04
43,1,2024-09-05
43,12,2024-09-17
43,42,2024-09-20
43,130,2024-10-04
43,156,2024-10-09
43,156,2024-10-12
