ユーザーID,商品ID,購入日時
47,58,2024-01-18
47,102,2024-02-17
47,148,2024-02-19
47,18,2024-02-20
47,95,2024-02-24
47,129,2024-02-28
47,118,2024-03-01
47,96,2024-04-03
47,61,2024-04-12
47,156,2024-04-22
47,15,2024-04-23
47,59,2024-04-25
47,32,2024-05-15
47,144,2024-05-24
47,43,2024-06-07
47,74,2024-06-11
47,84,2024-06-11
47,146,2024-06-14
47,107,2024-06-19
47,117,2024-07-21
47,15,2024-08-07
47,65,2024-08-08
47,78,2024-08-09
47,89,2024-08-10
47,135,2024-08-24
47,27,2024-09-01
47,127,2024-09-11
47,20,2024-09-11
47,63,2024-09-23
47,4,2024-10-01
47,70,2024-10-27
