ユーザーID,商品ID,購入日時
48,95,2024-01-24
48,56,2024-01-25
48,24,2024-01-26
48,146,2024-02-09
48,146,2024-02-10
48,3,2024-02-10
48,40,2024-02-14
48,88,2024-02-25
48,5,2024-03-06
48,107,2024-03-10
48,18,2024-03-17
48,127,2024-03-26
48,114,2024-04-05
48,4,2024-04-10
48,104,2024-04-13
48,10,2024-04-13
48,100,2024-04-19
48,131,2024-04-23
48,90,2024-05-06
48,79,2024-05-08
48,86,2024-05-15
48,13,2024-05-25
48,94,2024-05-25
48,77,2024-05-26
48,91,2024-06-14
48,152,2024-06-20
48,145,2024-06-21
48,64,2024-06-23
48,135,2024-06-27
48,39,2024-07-02
48,60,2024-07-07
48,66,2024-07-23
48,156,2024-07-24
48,137,2024-07-27
48,34,2024-07-28
48,62,2024-08-19
48,114,2024-08-24
48,58,2024-09-09
48,126,2024-09-09
48,151,2024-09-11
48,33,2024-09-24
48,12,2024-10-03
48,126,2024-10-10
48,97,2024-10-22
48,62,2024-10-26
48,77,2024-10-27
48,103,2024-10-27
