ユーザーID,商品ID,購入日時
5,117,2024-01-08
5,3,2024-01-10
5,77,2024-01-15
5,63,2024-01-22
5,5,2024-01-23
5,12,2024-01-28
5,121,2024-02-16
5,154,2024-02-23
5,112,2024-02-24
5,57,2024-03-01
5,111,2024-03-10
5,34,2024-03-11
5,68,2024-03-22
5,152,2024-03-29
5,82,2024-04-03
5,92,2024-04-21
5,89,2024-04-23
5,148,2024-04-24
5,23,2024-04-28
5,146,2024-05-01
5,71,2024-05-11
5,44,2024-05-17
5,121,2024-05-24
5,102,2024-05-30
5,142,2024-05-30
5,18,2024-05-31
5,17,2024-05-31
5,31,2024-06-10
5,75,2024-06-18
5,149,2024-06-21
5,39,2024-06-25
5,50,2024-06-27
5,45,2024-06-29
5,144,2024-07-02
5,9,2024-07-04
5,75,2024-07-23
5,93,2024-07-31
5,1,2024-08-09
5,113,2024-08-25
5,8,2024-08-29
5,53,2024-09-11
5,68,2024-09-16
5,90,2024-09-19
5,137,2024-09-25
5,80,2024-09-26
5,149,2024-09-28
5,111,2024-09-29
5,75,2024-09-30
5,6,2024-10-08
5,114,2024-10-22
