ユーザーID,商品ID,購入日時
51,149,2024-01-11
51,24,2024-01-15
51,18,2024-02-08
51,151,2024-02-08
51,32,2024-02-10
51,85,2024-02-29
51,30,2024-03-06
51,60,2024-03-14
51,107,2024-03-22
51,62,2024-03-26
51,39,2024-04-07
51,91,2024-04-08
51,96,2024-04-16
51,73,2024-04-16
51,13,2024-04-21
51,47,2024-04-22
51,155,2024-04-23
51,35,2024-05-01
51,123,2024-05-01
51,76,2024-05-08
51,102,2024-05-13
51,41,2024-05-19
51,6,2024-05-25
51,33,2024-05-28
51,129,2024-05-30
51,64,2024-06-07
51,151,2024-06-23
51,142,2024-07-05
51,58,2024-07-08
51,53,2024-07-12
51,67,2024-07-19
51,145,2024-07-27
51,126,2024-07-30
51,135,2024-08-05
51,37,2024-08-11
51,90,2024-08-12
51,53,2024-08-18
51,134,2024-08-20
51,44,2024-08-24
51,136,2024-09-07
51,81,2024-09-08
51,14,2024-09-19
51,11,2024-09-27
51,15,2024-10-07
51,80,2024-10-16
51,105,2024-10-18
51,130,2024-10-20
51,156,2024-10-24
