ユーザーID,商品ID,購入日時
52,147,2024-01-10
52,8,2024-01-17
52,152,2024-01-21
52,26,2024-02-04
52,115,2024-02-09
52,21,2024-02-12
52,83,2024-02-17
52,95,2024-02-24
52,144,2024-02-26
52,102,2024-02-26
52,21,2024-02-28
52,100,2024-03-12
52,126,2024-03-24
52,109,2024-03-26
52,45,2024-03-27
52,109,2024-03-28
52,24,2024-03-29
52,29,2024-03-31
52,154,2024-04-01
52,155,2024-04-02
52,134,2024-04-07
52,56,2024-04-08
52,1,2024-04-10
52,45,2024-04-13
52,140,2024-04-20
52,112,2024-04-21
52,46,2024-04-29
52,12,2024-04-30
52,92,2024-05-11
52,84,2024-05-15
52,13,2024-05-19
52,70,2024-05-26
52,119,2024-05-27
52,151,2024-06-20
52,119,2024-06-27
52,21,2024-07-07
52,59,2024-07-08
52,2,2024-07-09
52,83,2024-07-26
52,72,2024-07-27
52,62,2024-08-03
52,58,2024-08-07
52,119,2024-08-08
52,77,2024-08-12
52,129,2024-08-21
52,79,2024-08-23
52,154,2024-09-10
52,151,2024-10-08
52,106,2024-10-23
