ユーザーID,商品ID,購入日時
53,96,2024-01-13
53,49,2024-01-21
53,52,2024-02-01
53,105,2024-02-02
53,124,2024-02-22
53,121,2024-02-27
53,13,2024-03-07
53,13,2024-03-25
53,65,2024-03-27
53,75,2024-04-03
53,141,2024-04-06
53,59,2024-04-06
53,95,2024-04-16
53,15,2024-04-18
53,43,2024-04-19
53,91,2024-04-20
53,120,2024-05-04
53,87,2024-05-07
53,12,2024-05-12
53,97,2024-05-15
53,125,2024-05-16
53,62,2024-05-20
53,127,2024-05-23
53,31,2024-05-26
53,31,2024-05-30
53,123,2024-06-26
53,24,2024-07-09
53,117,2024-07-10
53,70,2024-07-11
53,51,2024-07-24
53,57,2024-07-26
53,117,2024-08-10
53,83,2024-08-16
53,56,2024-08-17
53,88,2024-08-22
53,36,2024-08-23
53,105,2024-08-29
53,137,2024-09-22
53,64,2024-10-01
53,16,2024-10-04
53,122,2024-10-11
53,7,2024-10-23
