ユーザーID,商品ID,購入日時
56,138,2024-01-04
56,5,2024-01-09
56,112,2024-01-11
56,77,2024-01-16
56,63,2024-01-16
56,4,2024-01-21
56,24,2024-01-23
56,83,2024-01-30
56,110,2024-02-04
56,25,2024-02-14
56,64,2024-03-25
56,18,2024-03-26
56,84,2024-04-13
56,26,2024-04-19
56,49,2024-05-07
56,99,2024-05-08
56,127,2024-05-14
56,131,2024-05-14
56,118,2024-05-17
56,64,2024-05-21
56,8,2024-05-25
56,146,2024-05-26
56,121,2024-06-10
56,17,2024-06-11
56,144,2024-06-12
56,43,2024-06-14
56,68,2024-06-17
56,132,2024-06-20
56,52,2024-06-23
56,131,2024-07-03
56,38,2024-07-14
56,94,2024-07-14
56,121,2024-07-17
56,94,2024-07-21
56,103,2024-07-25
56,13,2024-07-25
56,62,2024-08-01
56,36,2024-08-03
56,127,2024-08-03
56,138,2024-08-03
56,31,2024-08-24
56,149,2024-09-20
56,80,2024-09-21
56,118,2024-09-22
56,9,2024-09-26
56,132,2024-09-30
56,65,2024-10-07
56,27,2024-10-10
56,44,2024-10-15
56,101,2024-10-17
