ユーザーID,商品ID,購入日時
57,34,2024-01-12
57,27,2024-01-12
57,77,2024-01-14
57,38,2024-01-16
57,31,2024-01-24
57,77,2024-01-29
57,104,2024-02-02
57,154,2024-02-28
57,109,2024-03-07
57,144,2024-03-25
57,101,2024-04-01
57,92,2024-04-01
57,140,2024-04-18
57,43,2024-05-10
57,101,2024-05-14
57,134,2024-05-25
57,7,2024-05-30
57,111,2024-06-03
57,58,2024-06-10
57,30,2024-07-04
57,36,2024-07-05
57,130,2024-07-08
57,155,2024-08-08
57,115,2024-08-09
57,108,2024-08-09
57,73,2024-08-10
57,12,2024-08-17
57,60,2024-08-27
57,42,2024-09-03
57,4,2024-09-10
57,23,2024-09-18
57,21,2024-09-19
57,155,2024-09-23
57,125,2024-09-27
57,93,2024-09-28
57,107,2024-10-02
57,42,2024-10-09
57,93,2024-10-10
57,73,2024-10-13
57,112,2024-10-19
