ユーザーID,商品ID,購入日時
6,142,2024-01-27
6,151,2024-01-31
6,138,2024-02-07
6,58,2024-02-15
6,97,2024-02-21
6,94,2024-02-25
6,76,2024-03-03
6,43,2024-03-07
6,1,2024-03-10
6,24,2024-03-10
6,77,2024-03-12
6,135,2024-03-15
6,14,2024-04-03
6,139,2024-04-05
6,155,2024-04-16
6,140,2024-05-02
6,123,2024-05-03
6,152,2024-05-24
6,20,2024-05-26
6,53,2024-05-27
6,125,2024-06-27
6,151,2024-07-02
6,119,2024-07-11
6,126,2024-07-11
6,104,2024-07-15
6,94,2024-07-17
6,64,2024-07-20
6,125,2024-07-31
6,48,2024-08-03
6,127,2024-09-05
6,148,2024-09-24
6,17,2024-09-24
6,88,2024-10-10
6,88,2024-10-17
