ユーザーID,商品ID,購入日時
60,69,2024-01-12
60,6,2024-01-17
60,18,2024-01-18
60,99,2024-01-23
60,133,2024-01-31
60,59,2024-02-05
60,149,2024-02-07
60,39,2024-02-15
60,145,2024-02-16
60,31,2024-02-16
60,26,2024-03-03
60,46,2024-03-08
60,3,2024-03-10
60,50,2024-03-18
60,134,2024-03-23
60,79,2024-04-02
60,130,2024-04-10
60,92,2024-04-24
60,153,2024-04-28
60,69,2024-05-06
60,138,2024-05-08
60,81,2024-05-12
60,79,2024-05-17
60,64,2024-06-11
60,75,2024-06-24
60,13,2024-06-26
60,72,2024-07-08
60,66,2024-07-16
60,114,2024-08-02
60,67,2024-08-11
60,108,2024-08-14
60,69,2024-08-16
60,41,2024-08-21
60,25,2024-08-26
60,156,2024-09-04
60,98,2024-09-12
60,151,2024-09-14
60,117,2024-09-25
60,54,2024-09-30
60,5,2024-10-05
60,87,2024-10-06
