ユーザーID,商品ID,購入日時
62,107,2024-01-07
62,53,2024-01-15
62,45,2024-01-22
62,55,2024-02-02
62,87,2024-02-05
62,78,2024-02-14
62,16,2024-02-20
62,145,2024-03-18
62,16,2024-04-13
62,106,2024-05-08
62,33,2024-05-13
62,74,2024-05-16
62,35,2024-05-16
62,42,2024-06-01
62,6,2024-06-23
62,153,2024-07-10
62,52,2024-07-13
62,1,2024-07-14
62,156,2024-08-10
62,108,2024-08-17
62,64,2024-08-26
62,83,2024-08-28
62,25,2024-08-28
62,100,2024-09-01
62,46,2024-09-06
62,43,2024-09-12
62,124,2024-09-18
62,103,2024-09-18
62,17,2024-09-25
62,91,2024-09-29
62,99,2024-10-05
62,32,2024-10-22
