ユーザーID,商品ID,購入日時
63,104,2024-01-30
63,148,2024-02-07
63,87,2024-02-15
63,37,2024-02-16
63,137,2024-02-19
63,86,2024-02-20
63,15,2024-02-20
63,111,2024-02-23
63,141,2024-02-23
63,14,2024-02-24
63,84,2024-02-26
63,133,2024-03-04
63,123,2024-03-16
63,97,2024-03-23
63,133,2024-04-01
63,115,2024-04-09
63,20,2024-04-17
63,15,2024-04-19
63,77,2024-04-20
63,2,2024-04-25
63,46,2024-04-27
63,84,2024-04-30
63,4,2024-05-02
63,101,2024-05-15
63,94,2024-05-16
63,29,2024-05-23
63,89,2024-06-13
63,144,2024-06-14
63,150,2024-06-30
63,8,2024-07-05
63,74,2024-07-08
63,34,2024-07-08
63,28,2024-07-10
63,20,2024-07-14
63,134,2024-07-15
63,111,2024-07-16
63,79,2024-07-19
63,103,2024-07-27
63,129,2024-08-16
63,105,2024-08-23
63,76,2024-08-27
63,21,2024-08-31
63,6,2024-09-02
63,62,2024-09-06
63,136,2024-09-12
63,59,2024-09-12
63,127,2024-09-17
63,47,2024-10-07
63,121,2024-10-07
63,116,2024-10-20
