ユーザーID,商品ID,購入日時
65,37,2024-01-03
65,9,2024-01-11
65,134,2024-01-16
65,25,2024-01-24
65,88,2024-02-01
65,152,2024-02-23
65,55,2024-03-03
65,156,2024-03-03
65,102,2024-03-11
65,149,2024-03-11
65,49,2024-03-14
65,117,2024-03-22
65,19,2024-03-24
65,3,2024-04-03
65,20,2024-04-10
65,112,2024-04-22
65,140,2024-04-26
65,67,2024-05-05
65,22,2024-05-05
65,52,2024-05-08
65,147,2024-05-13
65,96,2024-05-28
65,141,2024-06-20
65,58,2024-06-20
65,150,2024-06-24
65,150,2024-07-02
65,55,2024-07-06
65,15,2024-07-06
65,75,2024-07-10
65,100,2024-07-10
65,108,2024-07-23
65,132,2024-07-27
65,150,2024-07-28
65,20,2024-07-28
65,83,2024-07-31
65,77,2024-08-11
65,26,2024-09-05
65,68,2024-10-05
65,80,2024-10-23
